region,month,temperature,salinity,depth,oxygen,turbidity,species
Kerala Coast,January,30.0,34.1,10,7.9,3.1,Mackerel
Rameswaram,June,26.3,33.3,47,6.8,4.8,Sardine
Andaman Sea,June,30.9,34.5,117,7.0,6.6,Tuna
Chennai Coast,July,28.5,35.7,89,7.4,3.2,Pomfret
Kerala Coast,July,26.0,34.7,23,7.3,9.2,Anchovy
Andaman Sea,August,29.1,35.3,106,5.5,2.2,Snapper
Chennai Coast,November,25.7,35.2,41,7.5,4.8,Pomfret
Visakhapatnam,July,30.6,34.6,39,6.8,4.6,Seer Fish
Chennai Coast,May,25.3,35.7,42,5.1,5.3,Anchovy
Andaman Sea,September,29.0,33.6,110,7.2,5.3,Snapper
Chennai Coast,December,27.2,34.1,38,6.3,8.5,Anchovy
Andaman Sea,April,29.0,33.6,44,5.4,6.2,Snapper
Visakhapatnam,September,29.2,35.4,62,7.6,6.6,Seer Fish
Goa Coast,June,29.7,35.5,79,6.6,6.6,Snapper
Kerala Coast,April,29.6,33.5,15,7.3,2.4,Mackerel
Chennai Coast,August,27.3,33.3,48,7.9,1.2,Pomfret
Kerala Coast,September,27.3,35.7,20,6.5,3.5,Anchovy
Visakhapatnam,August,29.8,36.0,65,6.4,4.7,Seer Fish
Rameswaram,May,28.5,33.9,61,5.9,8.3,Sardine
Goa Coast,February,28.8,35.5,53,5.7,7.3,Seer Fish
Kerala Coast,January,25.3,34.0,27,7.6,2.3,Anchovy
Goa Coast,July,28.5,34.3,53,5.7,1.5,Snapper
Goa Coast,July,30.4,33.5,54,7.0,1.6,Seer Fish
Andaman Sea,September,27.3,34.1,73,5.3,2.8,Snapper
Kerala Coast,June,25.7,35.1,38,7.5,2.1,Sardine
Andaman Sea,December,30.0,35.5,77,6.7,2.8,Snapper
Kerala Coast,May,24.7,35.4,13,6.7,2.1,Anchovy
Visakhapatnam,April,28.8,35.3,117,6.0,3.8,Tuna
Rameswaram,March,26.3,33.8,49,8.0,9.9,Sardine
Goa Coast,January,28.7,35.6,60,6.3,4.8,Snapper
Chennai Coast,May,27.7,35.6,35,5.0,3.9,Mackerel
Andaman Sea,April,29.1,34.3,117,6.7,7.7,Snapper
Rameswaram,December,25.8,33.7,45,5.8,1.8,Sardine
Chennai Coast,November,26.8,33.4,41,5.4,9.3,Anchovy
Visakhapatnam,September,28.6,33.0,93,6.9,8.2,Tuna
Visakhapatnam,May,31.7,33.8,153,7.4,2.0,Tuna
Andaman Sea,March,31.1,35.3,173,6.3,9.3,Tuna
Andaman Sea,June,30.7,35.8,83,6.1,2.8,Tuna
Chennai Coast,April,27.8,35.1,51,6.6,2.7,Pomfret
Visakhapatnam,February,28.8,33.7,170,5.5,9.7,Tuna
Goa Coast,November,30.7,35.0,86,7.8,2.3,Seer Fish
Kerala Coast,January,28.5,33.1,67,7.4,6.5,Sardine
Rameswaram,March,28.6,35.6,21,6.6,4.2,Sardine
Chennai Coast,October,28.4,34.5,76,6.3,5.0,Pomfret
Chennai Coast,October,24.7,35.8,40,4.7,3.1,Anchovy
Visakhapatnam,March,27.3,35.4,61,4.7,3.2,Seer Fish
Visakhapatnam,February,29.2,35.5,66,7.9,3.4,Seer Fish
Chennai Coast,December,25.7,33.4,39,4.9,4.7,Pomfret
Rameswaram,May,25.3,34.9,56,4.8,5.9,Pomfret
Chennai Coast,June,29.7,35.4,51,7.8,4.4,Mackerel
Chennai Coast,October,28.4,35.7,74,7.4,2.7,Pomfret
Chennai Coast,November,24.8,35.6,27,6.9,6.6,Anchovy
Goa Coast,July,28.1,35.5,59,8.0,1.5,Snapper
Andaman Sea,July,29.7,33.5,163,4.6,9.8,Tuna
Kerala Coast,October,28.5,33.4,41,5.3,5.7,Mackerel
Chennai Coast,January,25.2,33.7,13,6.9,9.5,Anchovy
Chennai Coast,April,28.9,33.8,69,4.7,7.5,Pomfret
Rameswaram,October,27.7,34.5,58,5.3,2.6,Sardine
Andaman Sea,August,29.7,35.9,46,5.5,7.2,Snapper
Andaman Sea,March,28.5,34.0,69,7.7,9.3,Snapper
Kerala Coast,December,26.7,34.2,22,6.7,2.2,Mackerel
Kerala Coast,October,28.4,35.6,53,6.4,9.5,Mackerel
Visakhapatnam,September,29.3,34.8,67,6.5,1.7,Tuna
Chennai Coast,April,27.3,33.7,27,4.8,5.2,Mackerel
Rameswaram,January,27.5,34.4,66,4.8,6.5,Sardine
Goa Coast,March,30.9,33.1,61,7.1,5.7,Seer Fish
Andaman Sea,April,29.4,35.1,119,4.9,6.2,Tuna
Chennai Coast,February,24.4,35.7,11,7.0,1.9,Anchovy
Visakhapatnam,July,28.2,34.9,54,7.7,7.4,Seer Fish
Kerala Coast,December,29.8,33.9,30,4.9,2.9,Mackerel
Rameswaram,August,25.0,34.2,47,7.9,4.4,Pomfret
Andaman Sea,November,28.4,34.3,53,6.6,8.0,Snapper
Chennai Coast,October,28.8,34.6,48,6.8,3.7,Pomfret
Goa Coast,January,28.1,34.3,91,4.8,6.6,Snapper
Visakhapatnam,May,28.7,35.2,91,7.2,9.8,Tuna
Visakhapatnam,June,29.9,35.9,167,5.9,2.2,Tuna
Kerala Coast,February,27.3,35.1,46,6.7,9.9,Mackerel
Kerala Coast,August,28.3,35.1,60,7.3,2.6,Mackerel
Kerala Coast,February,25.5,35.8,48,4.5,5.1,Sardine
Goa Coast,December,30.1,35.6,98,7.5,5.7,Seer Fish
Chennai Coast,January,26.9,35.5,21,6.8,6.3,Anchovy
Chennai Coast,August,25.6,35.0,12,7.8,3.6,Anchovy
Goa Coast,February,29.6,35.1,101,5.2,2.1,Snapper
Goa Coast,March,26.7,34.9,11,7.7,7.8,Mackerel
Rameswaram,November,28.3,34.1,63,4.5,2.2,Pomfret
Rameswaram,February,25.6,35.8,38,6.9,5.4,Pomfret
Andaman Sea,September,29.0,34.5,168,6.3,1.6,Tuna
Rameswaram,November,25.3,33.6,71,6.3,7.1,Pomfret
Visakhapatnam,September,27.6,35.3,79,6.3,5.3,Seer Fish
Rameswaram,October,25.1,34.9,86,5.9,4.5,Pomfret
Goa Coast,June,29.5,34.1,81,6.5,7.4,Seer Fish
Kerala Coast,April,25.4,34.1,52,4.8,9.9,Sardine
Rameswaram,September,27.2,34.6,43,4.8,1.4,Pomfret
Visakhapatnam,January,28.3,33.7,71,7.0,4.5,Seer Fish
Andaman Sea,December,28.9,34.5,181,7.8,6.1,Tuna
Kerala Coast,December,28.3,34.9,13,7.0,2.3,Mackerel
Chennai Coast,March,26.8,33.4,52,4.6,2.1,Pomfret
Kerala Coast,January,24.7,35.6,31,4.7,6.9,Anchovy
Kerala Coast,September,24.5,33.0,47,5.6,6.1,Anchovy
Visakhapatnam,October,31.3,34.8,190,4.8,1.9,Tuna
Chennai Coast,May,25.1,34.0,55,6.3,6.6,Pomfret
Kerala Coast,July,26.8,34.8,21,7.4,7.6,Sardine
Kerala Coast,September,26.9,35.4,21,4.7,1.6,Sardine
Kerala Coast,October,29.6,35.5,59,6.6,9.0,Mackerel
Goa Coast,July,28.5,33.1,101,7.1,4.4,Snapper
Rameswaram,May,27.4,34.5,37,6.8,7.7,Sardine
Visakhapatnam,April,30.3,33.2,37,5.9,2.4,Seer Fish
Chennai Coast,September,27.0,35.1,36,4.6,7.7,Pomfret
Rameswaram,February,28.4,35.7,77,7.1,3.6,Sardine
Rameswaram,August,27.3,34.1,81,6.7,4.5,Pomfret
Chennai Coast,January,28.5,35.1,48,6.6,6.7,Pomfret
Goa Coast,October,27.6,35.7,98,6.7,2.2,Snapper
Visakhapatnam,April,30.7,33.4,172,5.7,1.3,Tuna
Visakhapatnam,April,29.7,34.6,112,7.5,3.5,Tuna
Rameswaram,July,28.6,35.2,75,6.5,6.8,Sardine
Andaman Sea,December,29.4,35.2,155,5.7,8.2,Tuna
Rameswaram,October,27.0,35.4,45,6.2,3.1,Sardine
Chennai Coast,May,26.3,35.0,26,4.5,9.3,Anchovy
Andaman Sea,January,27.5,34.1,90,6.4,8.7,Snapper
Goa Coast,November,27.2,34.2,14,8.0,8.5,Mackerel
Goa Coast,April,27.4,34.1,30,6.4,6.6,Mackerel
Kerala Coast,September,24.6,34.2,38,6.1,1.2,Anchovy
Goa Coast,July,29.9,33.3,80,7.6,8.0,Snapper
Goa Coast,December,29.1,34.7,31,4.9,3.9,Seer Fish
Goa Coast,February,29.7,33.7,53,4.6,1.2,Mackerel
Goa Coast,September,27.0,35.1,32,5.2,2.0,Seer Fish
Visakhapatnam,March,27.2,33.1,91,7.9,2.8,Seer Fish
Kerala Coast,August,25.0,35.6,41,7.1,1.0,Sardine
Kerala Coast,November,26.8,35.8,45,5.8,8.3,Anchovy
Visakhapatnam,September,29.7,35.5,91,6.4,9.3,Seer Fish
Kerala Coast,June,24.6,35.9,37,5.9,3.4,Anchovy
Rameswaram,December,27.1,34.2,79,5.7,7.9,Sardine
Rameswaram,September,25.8,34.9,46,7.2,5.8,Pomfret
Goa Coast,April,27.5,33.8,37,6.9,1.3,Mackerel
Goa Coast,January,29.0,34.9,56,4.9,6.2,Seer Fish
Visakhapatnam,January,28.5,34.2,74,7.0,6.8,Seer Fish
Rameswaram,January,27.5,35.1,46,5.5,8.6,Sardine
Andaman Sea,October,27.3,36.0,52,6.7,3.7,Snapper
Visakhapatnam,July,28.5,34.5,61,7.6,8.4,Seer Fish
Andaman Sea,July,28.8,35.4,156,5.3,7.4,Tuna
Kerala Coast,January,28.3,35.3,42,6.5,8.3,Mackerel
Chennai Coast,January,27.6,34.8,19,6.2,9.5,Mackerel
Rameswaram,January,27.7,35.5,61,5.3,7.4,Sardine
Kerala Coast,May,26.3,35.2,56,7.4,7.3,Mackerel
Andaman Sea,June,29.8,34.5,56,6.6,6.9,Snapper
Goa Coast,April,30.6,35.9,50,5.8,4.3,Seer Fish
Andaman Sea,September,29.3,35.5,100,6.2,1.9,Snapper
Chennai Coast,June,27.4,35.0,72,7.0,5.3,Pomfret
Andaman Sea,May,29.5,33.4,68,7.9,4.0,Snapper
Goa Coast,October,28.5,33.9,63,7.9,4.7,Snapper
Goa Coast,March,27.2,35.9,113,4.8,9.4,Snapper
Rameswaram,July,25.4,34.1,49,7.6,3.8,Sardine
Kerala Coast,April,25.8,33.9,76,5.8,1.4,Sardine
Rameswaram,December,25.4,35.2,49,6.6,8.6,Sardine
Andaman Sea,April,30.5,34.2,68,6.6,9.3,Tuna
Kerala Coast,October,26.1,35.6,68,6.4,5.9,Sardine
Visakhapatnam,December,28.1,34.7,131,5.7,2.6,Tuna
Visakhapatnam,May,30.7,35.7,137,4.8,4.5,Tuna
Kerala Coast,August,25.0,34.2,57,7.9,8.0,Sardine
Kerala Coast,March,25.2,35.2,29,7.1,9.4,Anchovy
Chennai Coast,February,25.9,35.2,50,5.8,3.9,Pomfret
Kerala Coast,August,26.5,35.6,36,6.3,6.8,Anchovy
Rameswaram,June,28.7,35.3,87,5.8,4.1,Pomfret
Chennai Coast,January,26.0,34.5,26,5.8,4.0,Anchovy
Goa Coast,December,27.0,34.0,64,6.4,1.6,Seer Fish
Visakhapatnam,August,29.2,34.3,23,6.4,7.2,Seer Fish
Kerala Coast,March,26.1,34.7,33,7.0,8.0,Mackerel
Rameswaram,February,26.5,35.5,24,6.7,5.9,Sardine
Visakhapatnam,March,29.8,33.5,65,5.9,9.3,Tuna
Andaman Sea,January,31.9,33.8,71,4.6,8.9,Tuna
Rameswaram,October,28.3,33.1,64,4.8,8.0,Pomfret
Chennai Coast,March,25.4,33.6,45,6.1,9.6,Pomfret
Andaman Sea,September,30.7,34.9,101,7.9,8.1,Tuna
Goa Coast,May,28.8,33.8,19,6.4,5.3,Mackerel
Kerala Coast,November,28.3,34.5,52,4.7,3.8,Mackerel
Andaman Sea,May,28.9,33.7,158,5.0,2.9,Tuna
Kerala Coast,August,27.5,35.3,49,5.1,6.3,Anchovy
Rameswaram,May,26.8,34.4,74,5.9,5.2,Sardine
Kerala Coast,August,28.0,34.5,31,6.4,1.2,Mackerel
Visakhapatnam,January,30.5,33.9,159,5.9,2.5,Tuna
