region,month,temperature,salinity,depth,oxygen,turbidity,species
Chennai Coast,May,25.7,33.4,20,5.8,3.0,Anchovy
Visakhapatnam,June,28.1,33.7,47,7.1,3.7,Seer Fish
Andaman Sea,October,30.9,34.5,186,4.9,5.3,Tuna
Andaman Sea,November,29.1,35.0,181,5.1,6.4,Tuna
Chennai Coast,February,24.8,33.3,23,6.2,9.5,Anchovy
Visakhapatnam,August,28.3,35.0,199,6.5,3.1,Tuna
Rameswaram,June,28.1,34.0,60,7.6,6.4,Pomfret
Andaman Sea,August,29.1,35.8,79,7.9,1.5,Snapper
Andaman Sea,January,27.2,34.1,65,6.8,4.4,Snapper
Goa Coast,April,27.8,34.3,50,7.5,4.9,Seer Fish
Goa Coast,November,28.6,35.6,56,7.9,6.0,Snapper
Goa Coast,January,27.8,35.6,30,7.6,3.3,Mackerel
Goa Coast,May,27.1,34.1,47,5.1,8.9,Mackerel
Visakhapatnam,November,29.3,33.7,63,6.9,3.9,Seer Fish
Kerala Coast,January,25.8,35.3,22,7.5,3.8,Anchovy
Rameswaram,September,26.0,33.3,27,8.0,5.6,Sardine
Kerala Coast,April,25.1,34.6,26,6.1,9.6,Sardine
Goa Coast,January,27.8,33.2,49,7.0,5.5,Seer Fish
Visakhapatnam,October,27.9,34.4,53,6.3,9.0,Seer Fish
Kerala Coast,August,28.0,35.8,30,4.6,4.5,Sardine
Chennai Coast,July,25.6,33.6,24,6.5,1.2,Anchovy
Chennai Coast,July,26.8,33.0,27,7.9,7.1,Anchovy
Chennai Coast,May,24.9,33.6,13,6.8,6.4,Anchovy
Andaman Sea,October,30.9,35.7,152,7.7,1.8,Tuna
Chennai Coast,February,26.6,33.5,75,5.1,8.1,Pomfret
Rameswaram,February,25.7,35.4,31,7.0,5.2,Pomfret
Goa Coast,May,28.2,35.5,84,6.1,3.0,Seer Fish
Andaman Sea,April,27.8,33.1,46,5.2,5.9,Snapper
Goa Coast,June,27.6,34.5,74,5.9,3.3,Snapper
Kerala Coast,February,26.3,35.9,17,7.3,6.3,Anchovy
Chennai Coast,May,25.8,33.5,88,8.0,2.5,Pomfret
Visakhapatnam,April,29.6,34.0,76,6.4,7.3,Seer Fish
Visakhapatnam,September,29.9,35.6,140,7.5,4.3,Tuna
Rameswaram,July,27.7,33.9,59,7.3,7.1,Pomfret
Chennai Coast,March,26.7,33.3,90,6.2,4.7,Pomfret
Goa Coast,November,30.6,33.7,48,7.1,5.2,Seer Fish
Rameswaram,December,27.6,34.2,49,6.9,4.0,Sardine
Kerala Coast,March,28.0,33.6,78,5.5,7.2,Sardine
Visakhapatnam,June,31.3,33.2,155,7.7,6.7,Tuna
Goa Coast,May,30.9,34.6,57,5.9,2.8,Seer Fish
Chennai Coast,December,26.3,34.5,27,5.3,8.6,Anchovy
Chennai Coast,July,24.1,35.4,16,7.0,7.0,Anchovy
Andaman Sea,August,28.0,33.9,110,6.3,8.2,Snapper
Kerala Coast,January,28.0,33.4,53,6.9,5.7,Sardine
Goa Coast,January,30.1,35.5,40,6.3,5.6,Seer Fish
Andaman Sea,March,29.7,34.3,56,7.8,8.7,Snapper
Rameswaram,February,25.8,34.7,43,6.2,8.2,Sardine
Visakhapatnam,August,28.0,34.5,89,7.6,6.0,Seer Fish
Goa Coast,March,26.4,33.2,30,6.2,7.5,Mackerel
Goa Coast,July,30.9,35.4,42,5.1,7.5,Seer Fish
Andaman Sea,October,28.0,33.8,133,7.1,9.0,Tuna
Visakhapatnam,June,28.3,34.0,58,5.9,4.0,Seer Fish
Rameswaram,November,28.9,34.8,38,7.4,6.3,Sardine
Chennai Coast,February,25.8,33.7,28,6.0,5.9,Anchovy
Andaman Sea,August,29.9,34.7,120,7.2,9.9,Tuna
Goa Coast,August,29.1,34.5,84,6.6,8.3,Seer Fish
Chennai Coast,February,29.4,34.7,58,5.5,2.1,Mackerel
Visakhapatnam,December,31.0,35.0,73,7.2,8.4,Seer Fish
Andaman Sea,April,27.4,34.6,95,7.5,4.7,Snapper
Goa Coast,October,27.5,35.1,28,6.0,1.2,Seer Fish
Kerala Coast,July,27.9,35.2,44,5.8,4.7,Mackerel
Goa Coast,September,29.5,33.1,72,6.2,3.9,Snapper
Chennai Coast,June,29.8,34.8,53,7.3,6.1,Mackerel
Kerala Coast,December,26.3,34.6,58,8.0,3.4,Mackerel
Visakhapatnam,November,31.8,35.4,106,5.4,2.9,Tuna
Andaman Sea,April,29.4,34.4,119,6.7,9.3,Tuna
Goa Coast,October,26.1,33.1,24,7.8,8.0,Mackerel
Chennai Coast,November,26.8,33.7,45,4.8,7.2,Anchovy
Chennai Coast,September,25.5,33.5,44,6.3,4.2,Anchovy
Goa Coast,June,28.2,35.6,96,5.3,6.8,Snapper
Goa Coast,April,28.7,33.9,41,7.7,8.5,Seer Fish
Andaman Sea,September,27.1,34.8,102,7.1,1.9,Snapper
Chennai Coast,November,29.5,34.1,35,7.1,8.4,Mackerel
Kerala Coast,November,24.2,35.1,29,5.8,8.9,Anchovy
Kerala Coast,October,26.8,35.6,44,4.7,8.6,Sardine
Kerala Coast,July,28.9,34.4,45,5.9,1.5,Sardine
Visakhapatnam,October,28.1,34.7,64,4.8,8.4,Seer Fish
Goa Coast,August,30.8,34.2,79,6.4,2.4,Seer Fish
Goa Coast,February,26.7,35.4,33,5.6,6.1,Mackerel
Kerala Coast,December,27.2,35.1,72,5.4,3.4,Sardine
Kerala Coast,December,25.2,33.8,23,4.7,5.0,Sardine
Visakhapatnam,October,30.6,33.1,28,5.4,3.2,Seer Fish
Chennai Coast,August,26.0,34.0,48,4.8,7.1,Mackerel
Goa Coast,April,30.9,33.1,49,6.2,9.1,Seer Fish
Goa Coast,December,28.5,33.9,38,4.5,8.1,Mackerel
Chennai Coast,November,27.7,35.9,36,4.8,3.6,Pomfret
Rameswaram,January,27.5,34.4,63,5.8,7.3,Pomfret
Rameswaram,June,25.9,34.1,82,6.4,6.6,Pomfret
Andaman Sea,March,29.1,33.8,57,7.1,3.0,Snapper
Kerala Coast,December,26.0,33.9,47,4.7,1.0,Sardine
Goa Coast,September,29.8,35.2,22,5.4,4.3,Mackerel
Kerala Coast,November,26.4,34.1,39,6.8,1.7,Anchovy
Goa Coast,June,29.4,35.8,100,6.0,5.7,Snapper
Rameswaram,June,25.2,33.4,87,5.6,4.2,Pomfret
Kerala Coast,May,26.8,33.3,80,7.0,6.2,Sardine
Kerala Coast,November,26.9,36.0,29,4.6,1.8,Sardine
Chennai Coast,April,26.2,34.5,35,7.6,6.0,Pomfret
Andaman Sea,June,29.2,35.5,148,4.5,1.8,Tuna
Kerala Coast,January,26.3,35.6,30,4.7,2.3,Mackerel
Andaman Sea,May,27.8,33.7,93,7.6,2.7,Snapper
Rameswaram,November,27.3,33.2,42,7.0,8.1,Pomfret
Goa Coast,March,27.2,33.1,23,5.2,2.2,Mackerel
Rameswaram,May,27.4,34.8,64,7.2,7.8,Pomfret
Rameswaram,May,26.1,35.2,27,5.1,9.1,Sardine
Rameswaram,October,27.7,34.1,47,8.0,8.0,Sardine
Rameswaram,October,28.8,33.1,33,5.6,6.0,Pomfret
Andaman Sea,March,27.1,35.2,63,6.0,9.3,Snapper
Goa Coast,April,28.2,34.7,50,7.1,7.4,Seer Fish
Chennai Coast,January,26.4,34.6,40,7.1,1.4,Mackerel
Andaman Sea,October,28.2,33.2,75,4.5,9.2,Tuna
Rameswaram,February,28.1,34.4,63,6.6,4.1,Sardine
Visakhapatnam,September,29.9,35.8,92,4.8,5.4,Seer Fish
Andaman Sea,June,29.1,35.5,66,7.4,4.8,Snapper
Andaman Sea,November,31.1,34.3,112,7.9,7.1,Tuna
Kerala Coast,May,26.8,35.4,46,6.0,4.9,Mackerel
Chennai Coast,March,27.5,33.7,81,7.0,1.7,Pomfret
Kerala Coast,August,27.5,33.0,28,8.0,2.8,Mackerel
Andaman Sea,February,30.7,34.8,77,6.4,4.2,Tuna
Goa Coast,November,27.3,35.2,88,6.1,10.0,Seer Fish
Rameswaram,August,27.0,33.7,85,5.3,5.4,Pomfret
Goa Coast,August,29.3,35.0,38,7.1,7.9,Mackerel
Chennai Coast,February,25.7,35.8,22,4.8,7.8,Anchovy
Rameswaram,November,26.0,35.3,89,6.5,2.9,Pomfret
Rameswaram,March,25.1,35.3,85,4.8,1.9,Pomfret
Kerala Coast,October,26.5,35.6,61,6.3,9.0,Sardine
Andaman Sea,October,30.4,34.2,163,5.5,7.1,Tuna
Goa Coast,October,28.5,35.7,64,7.6,2.5,Seer Fish
Andaman Sea,September,31.6,33.6,196,5.0,7.2,Tuna
Rameswaram,December,28.0,33.3,51,6.0,5.6,Sardine
Andaman Sea,November,28.0,33.7,66,7.0,2.1,Snapper
Visakhapatnam,January,28.8,34.5,27,6.1,5.6,Seer Fish
Visakhapatnam,November,29.3,34.4,67,5.1,1.7,Seer Fish
Visakhapatnam,January,29.8,35.4,173,6.6,3.7,Tuna
Chennai Coast,May,26.3,35.6,87,5.6,1.9,Pomfret
Andaman Sea,January,31.0,34.3,61,7.9,4.7,Tuna
Andaman Sea,August,28.5,33.2,46,7.8,9.8,Snapper
Kerala Coast,August,27.7,34.2,37,7.3,8.7,Anchovy
Goa Coast,September,28.4,33.8,41,5.3,8.1,Mackerel
Chennai Coast,July,26.7,33.1,20,8.0,2.8,Mackerel
Kerala Coast,November,27.9,34.0,46,4.6,5.6,Anchovy
Visakhapatnam,April,29.5,35.2,20,4.8,5.6,Seer Fish
Visakhapatnam,September,29.2,34.9,23,4.8,4.9,Seer Fish
Goa Coast,October,28.1,35.0,101,6.4,4.5,Snapper
Goa Coast,May,29.7,34.5,99,4.5,1.3,Snapper
Goa Coast,February,29.7,35.4,96,7.7,9.2,Seer Fish
Andaman Sea,April,29.2,33.2,49,5.4,3.6,Snapper
Chennai Coast,April,24.2,33.3,42,6.2,1.6,Anchovy
Kerala Coast,June,24.7,34.9,29,6.9,9.0,Anchovy
Chennai Coast,April,29.9,35.8,47,5.8,8.2,Mackerel
Goa Coast,November,29.8,33.3,54,5.4,4.2,Mackerel
Chennai Coast,June,27.5,34.2,54,6.6,5.9,Mackerel
Chennai Coast,September,25.7,34.3,48,7.4,5.8,Pomfret
Goa Coast,November,27.0,33.7,40,7.1,1.1,Mackerel
Rameswaram,September,28.4,34.0,77,6.2,8.0,Sardine
Visakhapatnam,June,29.6,33.8,92,4.8,3.6,Seer Fish
Visakhapatnam,October,30.9,34.5,73,4.5,6.9,Tuna
Rameswaram,April,25.1,33.5,68,5.9,7.8,Sardine
Andaman Sea,November,29.7,35.8,62,7.9,6.1,Snapper
Kerala Coast,March,24.7,34.4,24,7.7,1.1,Anchovy
Chennai Coast,November,26.8,33.8,12,5.6,7.0,Anchovy
Chennai Coast,May,24.7,33.8,16,6.7,2.9,Anchovy
Goa Coast,June,27.6,34.8,91,7.3,4.8,Snapper
Chennai Coast,December,29.8,35.4,45,7.4,6.1,Mackerel
Visakhapatnam,March,31.2,33.1,199,4.5,2.9,Tuna
Goa Coast,September,29.9,33.3,77,7.8,4.2,Seer Fish
Goa Coast,October,28.2,35.3,109,6.5,5.6,Snapper
Goa Coast,January,28.2,33.4,29,4.9,3.8,Seer Fish
Goa Coast,January,28.6,35.3,44,7.7,7.6,Seer Fish
Goa Coast,July,27.2,35.0,34,6.2,10.0,Seer Fish
Goa Coast,March,29.1,34.6,57,7.7,9.1,Snapper
Rameswaram,August,26.9,35.9,45,5.5,2.5,Sardine
Goa Coast,April,30.0,35.8,65,7.2,5.5,Snapper
Kerala Coast,April,27.8,34.0,42,6.5,1.3,Mackerel
Chennai Coast,December,26.7,33.2,84,5.7,5.4,Pomfret
Kerala Coast,January,28.3,33.7,36,6.9,3.2,Mackerel
Rameswaram,July,28.9,33.3,86,5.9,4.4,Pomfret
Andaman Sea,May,29.1,33.3,70,4.9,3.4,Snapper
Rameswaram,March,26.8,33.8,80,7.6,8.8,Pomfret
Chennai Coast,June,26.6,35.9,59,6.2,1.6,Mackerel
Visakhapatnam,February,29.2,33.2,188,6.8,4.4,Tuna
Goa Coast,April,29.3,35.8,104,6.9,3.5,Snapper
Chennai Coast,March,26.2,33.3,41,5.3,5.2,Pomfret
Kerala Coast,February,27.8,33.8,44,7.0,9.5,Anchovy
Chennai Coast,December,25.3,34.4,25,6.5,1.7,Anchovy
Chennai Coast,September,27.0,35.1,60,6.6,1.8,Pomfret
Andaman Sea,August,29.1,33.6,166,5.7,8.4,Tuna
Kerala Coast,January,26.7,34.5,55,7.4,7.9,Mackerel
Kerala Coast,March,24.6,34.3,38,6.5,3.5,Anchovy
Chennai Coast,June,27.8,33.5,55,7.0,5.6,Mackerel
Chennai Coast,August,28.6,35.5,71,5.6,5.7,Pomfret
Visakhapatnam,January,30.8,35.9,71,5.4,1.6,Tuna
Kerala Coast,December,25.1,33.0,16,6.9,4.7,Anchovy
Goa Coast,December,27.4,34.1,37,7.9,3.0,Mackerel
Andaman Sea,June,28.1,33.3,180,7.9,6.1,Tuna
Goa Coast,April,29.8,33.5,87,4.8,5.1,Seer Fish
Andaman Sea,August,30.5,34.4,140,5.8,1.2,Tuna
Kerala Coast,January,27.8,35.4,48,6.8,7.1,Anchovy
Visakhapatnam,June,30.5,33.1,144,5.7,1.6,Tuna
Rameswaram,January,26.1,34.6,30,8.0,4.5,Pomfret
Rameswaram,September,26.6,33.9,33,6.5,6.6,Pomfret
Kerala Coast,June,28.1,33.3,22,5.4,4.1,Sardine
Goa Coast,October,29.1,33.1,98,4.7,2.5,Seer Fish
Chennai Coast,September,26.8,35.9,30,5.6,1.2,Anchovy
Chennai Coast,March,26.9,34.9,19,7.9,3.2,Mackerel
Rameswaram,September,28.3,35.9,66,7.5,3.4,Sardine
Chennai Coast,July,27.8,35.4,14,5.0,5.7,Anchovy
Chennai Coast,February,26.3,35.1,68,6.6,3.4,Pomfret
Andaman Sea,January,28.1,34.0,59,6.0,8.1,Snapper
Goa Coast,September,28.8,35.7,64,7.5,3.7,Snapper
Visakhapatnam,February,28.2,34.8,192,5.4,2.5,Tuna
Kerala Coast,October,25.8,36.0,16,7.3,5.8,Anchovy
Chennai Coast,December,26.3,34.0,72,6.0,3.7,Pomfret
Visakhapatnam,December,30.6,33.4,45,4.5,2.4,Seer Fish
Visakhapatnam,July,29.9,33.7,92,7.9,1.1,Seer Fish
Rameswaram,November,25.9,35.1,47,6.2,9.3,Pomfret
Kerala Coast,November,28.4,33.3,78,6.2,5.9,Sardine
Kerala Coast,May,27.7,33.3,63,7.9,4.5,Sardine
Visakhapatnam,November,28.6,34.8,168,5.5,7.3,Tuna
Rameswaram,June,28.8,33.9,75,6.0,6.8,Pomfret
Kerala Coast,June,25.8,33.3,76,5.5,4.0,Sardine
Chennai Coast,November,26.1,33.6,53,5.2,9.0,Pomfret
Kerala Coast,February,27.2,34.5,36,5.0,8.0,Mackerel
Goa Coast,February,27.1,33.1,28,4.9,9.7,Mackerel
Kerala Coast,July,25.3,33.5,21,7.7,6.1,Anchovy
Rameswaram,August,25.4,34.5,52,5.7,5.8,Sardine
Rameswaram,May,28.9,35.7,48,6.2,4.4,Sardine
Visakhapatnam,April,27.2,33.1,45,6.7,2.1,Seer Fish
Chennai Coast,June,26.8,35.8,36,5.2,2.8,Mackerel
Goa Coast,June,28.6,34.6,19,4.5,6.8,Mackerel
Andaman Sea,January,28.0,33.8,118,4.6,1.3,Snapper
Chennai Coast,September,26.7,33.4,37,4.8,5.6,Anchovy
Rameswaram,August,28.2,35.7,44,6.6,4.6,Pomfret
Chennai Coast,July,25.9,33.7,33,7.9,4.1,Anchovy
Kerala Coast,December,28.6,35.5,19,7.8,4.7,Mackerel
Chennai Coast,August,27.4,34.4,57,5.8,3.2,Pomfret
Goa Coast,April,29.1,35.5,33,5.7,7.5,Seer Fish
Goa Coast,January,29.5,35.4,63,7.1,3.1,Seer Fish
Goa Coast,February,27.2,34.8,109,7.9,4.9,Snapper
Chennai Coast,December,27.4,33.4,53,7.4,2.1,Mackerel
Goa Coast,April,28.4,33.3,102,6.5,6.3,Snapper
Andaman Sea,September,29.7,34.5,72,7.7,3.6,Tuna
Goa Coast,April,30.7,34.1,47,5.7,5.7,Seer Fish
Visakhapatnam,July,28.1,34.1,176,7.2,5.4,Tuna
Andaman Sea,July,28.5,35.6,173,7.3,9.6,Tuna
Chennai Coast,December,27.4,34.1,15,4.8,4.1,Anchovy
Goa Coast,August,27.8,34.1,68,5.4,7.5,Seer Fish
Goa Coast,January,29.9,34.7,108,6.1,5.1,Snapper
Kerala Coast,August,26.4,35.9,20,6.7,9.5,Mackerel
Andaman Sea,February,27.7,34.0,40,7.8,2.8,Snapper
Rameswaram,June,25.6,34.3,32,5.5,8.2,Sardine
Rameswaram,July,28.5,34.4,70,5.6,8.0,Sardine
Kerala Coast,October,26.1,33.4,11,6.5,9.6,Anchovy
Rameswaram,November,28.0,35.7,30,6.0,6.4,Pomfret
Goa Coast,November,30.2,34.0,75,6.8,3.2,Seer Fish
Kerala Coast,January,28.5,35.8,40,6.5,3.1,Mackerel
Kerala Coast,January,27.7,34.7,36,5.8,6.5,Anchovy
Chennai Coast,October,27.1,33.7,34,7.2,1.1,Pomfret
Kerala Coast,April,28.7,35.8,49,6.2,2.7,Mackerel
Andaman Sea,December,29.5,34.3,153,4.6,3.4,Tuna
Andaman Sea,July,29.4,35.2,69,7.3,6.7,Tuna
Chennai Coast,March,26.7,33.0,89,7.7,2.9,Pomfret
Rameswaram,January,28.4,34.7,47,7.1,2.7,Sardine
Andaman Sea,September,31.4,35.5,70,4.9,5.1,Tuna
Rameswaram,June,28.8,34.6,43,6.2,1.5,Sardine
Chennai Coast,September,26.6,33.4,47,5.5,4.1,Pomfret
Visakhapatnam,November,28.3,34.2,144,4.9,1.8,Tuna
Chennai Coast,March,27.2,34.7,12,7.4,8.5,Anchovy
Andaman Sea,November,28.7,35.0,111,5.4,9.1,Snapper
Visakhapatnam,July,27.8,35.3,61,7.7,4.0,Seer Fish
Goa Coast,June,28.2,33.9,10,5.5,4.4,Mackerel
Chennai Coast,May,27.0,34.6,24,5.2,3.1,Anchovy
Visakhapatnam,November,28.0,34.2,45,4.6,8.4,Seer Fish
Chennai Coast,April,26.7,34.5,43,7.5,4.7,Pomfret
Visakhapatnam,August,29.2,34.5,81,6.8,1.7,Seer Fish
Kerala Coast,May,27.7,35.7,19,4.9,6.4,Mackerel
Goa Coast,September,27.9,33.5,50,7.3,7.1,Snapper
Chennai Coast,September,27.5,33.5,84,7.1,5.2,Pomfret
Andaman Sea,January,29.8,33.3,70,7.1,3.9,Snapper
Kerala Coast,March,27.5,33.1,63,7.0,9.9,Sardine
Visakhapatnam,July,28.9,33.9,71,7.6,6.1,Seer Fish
Andaman Sea,May,28.1,35.7,85,7.6,8.4,Snapper
Visakhapatnam,October,30.0,35.9,150,5.1,2.5,Tuna
Visakhapatnam,May,30.1,33.9,108,6.4,6.6,Tuna
Goa Coast,July,30.5,34.8,64,5.8,3.5,Seer Fish
Kerala Coast,February,25.2,34.0,47,7.6,4.4,Anchovy
Andaman Sea,October,30.3,35.5,174,5.6,8.0,Tuna
Goa Coast,April,27.1,33.6,69,7.2,4.1,Snapper
Visakhapatnam,April,28.7,35.3,138,5.3,6.0,Tuna
Rameswaram,September,27.6,34.3,73,7.6,2.7,Sardine
Chennai Coast,January,26.4,34.9,34,7.1,2.0,Mackerel
Andaman Sea,March,28.3,35.1,74,6.6,3.9,Snapper
Goa Coast,April,30.7,35.4,24,7.4,9.3,Seer Fish
Andaman Sea,November,27.8,33.0,102,6.2,2.2,Snapper
Visakhapatnam,November,29.3,35.9,80,5.0,2.7,Seer Fish
Visakhapatnam,December,29.6,33.3,79,6.2,2.4,Seer Fish
Chennai Coast,July,25.3,33.3,68,4.7,4.6,Pomfret
Chennai Coast,February,27.5,33.4,42,5.5,9.1,Anchovy
Kerala Coast,September,27.9,33.2,47,5.7,8.4,Anchovy
Chennai Coast,November,26.3,36.0,14,5.3,7.9,Anchovy
Kerala Coast,June,26.8,34.8,59,6.6,6.3,Sardine
Rameswaram,October,26.9,33.9,40,7.2,2.8,Pomfret
Andaman Sea,June,28.6,34.7,86,4.6,9.0,Tuna
Kerala Coast,April,28.3,36.0,62,7.0,1.4,Sardine
Rameswaram,December,26.1,34.7,50,5.3,9.5,Sardine
Goa Coast,April,27.4,33.0,81,6.7,2.4,Snapper
Kerala Coast,October,28.5,33.5,68,5.7,4.1,Sardine
Kerala Coast,September,26.8,33.1,21,5.5,4.1,Anchovy
Chennai Coast,November,29.6,34.6,32,7.9,6.9,Mackerel
Andaman Sea,May,27.1,34.0,94,4.6,3.4,Snapper
Kerala Coast,November,25.1,33.2,26,5.1,4.2,Anchovy
Chennai Coast,August,24.8,34.5,27,4.7,7.3,Anchovy
Chennai Coast,November,29.5,35.3,18,5.3,7.2,Mackerel
Goa Coast,October,28.9,33.2,85,7.0,7.7,Seer Fish
Andaman Sea,April,28.3,35.3,185,5.7,6.9,Tuna
Rameswaram,December,28.4,34.2,52,7.0,2.8,Pomfret
Andaman Sea,March,29.0,33.9,66,6.0,4.8,Snapper
Kerala Coast,March,27.1,34.9,56,7.3,2.1,Mackerel
Rameswaram,December,27.0,33.1,43,5.7,6.5,Pomfret
Rameswaram,May,29.0,33.9,54,6.1,9.8,Sardine
Rameswaram,October,25.8,35.0,53,7.9,9.0,Pomfret
Chennai Coast,November,26.8,35.4,40,6.5,5.3,Mackerel
Kerala Coast,June,28.1,35.7,66,5.2,1.3,Sardine
Kerala Coast,May,28.4,34.8,64,6.5,9.7,Sardine
Andaman Sea,August,28.7,35.9,120,6.7,3.4,Snapper
Rameswaram,September,26.2,33.1,37,6.6,5.9,Sardine
Kerala Coast,February,25.2,35.5,54,7.6,4.2,Sardine
Kerala Coast,June,27.9,35.4,22,5.5,7.1,Sardine
Kerala Coast,August,26.5,34.3,32,6.9,10.0,Sardine
Kerala Coast,May,25.7,34.1,54,5.3,7.5,Sardine
Visakhapatnam,May,29.6,33.8,86,4.7,6.4,Seer Fish
Visakhapatnam,December,28.4,33.3,50,7.4,9.1,Seer Fish
Andaman Sea,April,30.7,35.1,134,5.0,7.3,Tuna
Goa Coast,April,28.3,33.0,77,7.5,8.8,Seer Fish
Goa Coast,November,29.4,34.4,29,6.0,5.6,Mackerel
Rameswaram,August,28.2,34.2,54,5.2,2.9,Pomfret
Goa Coast,June,29.2,34.3,57,7.2,7.7,Mackerel
Andaman Sea,December,28.0,33.8,76,7.3,6.6,Snapper
Andaman Sea,December,30.3,33.8,89,5.7,4.9,Tuna
Chennai Coast,January,25.7,35.5,33,7.3,7.0,Anchovy
Rameswaram,January,28.9,33.1,65,5.6,4.5,Pomfret
Andaman Sea,April,30.6,33.9,138,5.7,9.9,Tuna
Chennai Coast,August,24.3,35.0,25,5.6,3.7,Anchovy
Goa Coast,December,28.8,33.3,44,7.2,6.7,Seer Fish
Visakhapatnam,February,27.8,33.3,94,7.2,6.6,Seer Fish
Chennai Coast,September,25.7,34.1,38,7.5,9.1,Anchovy
Kerala Coast,February,27.2,33.2,32,5.4,8.7,Mackerel
Andaman Sea,August,27.9,34.1,90,5.3,6.3,Snapper
Chennai Coast,January,25.0,35.2,50,7.4,8.1,Anchovy
Goa Coast,April,29.1,35.1,94,6.7,4.6,Seer Fish
Andaman Sea,June,29.1,33.6,100,5.4,3.7,Snapper
Rameswaram,January,27.0,33.9,57,5.1,6.7,Sardine
Kerala Coast,April,26.0,35.8,18,5.6,9.0,Anchovy
Kerala Coast,September,27.1,33.5,35,6.4,6.7,Mackerel
Chennai Coast,December,29.5,34.1,45,6.7,3.1,Mackerel
Andaman Sea,June,30.8,35.8,84,7.0,8.0,Tuna
Goa Coast,January,27.9,35.3,118,6.2,10.0,Snapper
Rameswaram,September,28.5,34.4,56,5.1,9.9,Sardine
Andaman Sea,June,28.7,33.7,104,5.3,4.6,Tuna
Visakhapatnam,April,28.3,34.5,138,5.8,1.2,Tuna
Goa Coast,February,29.4,35.0,89,5.4,2.0,Snapper
Visakhapatnam,November,28.6,33.2,81,7.8,4.5,Tuna
Kerala Coast,October,27.5,35.2,63,4.8,7.0,Sardine
Chennai Coast,December,24.1,33.3,14,5.2,2.3,Anchovy
Andaman Sea,March,28.3,33.9,65,5.9,9.1,Snapper
Kerala Coast,November,27.7,33.8,15,5.7,5.1,Mackerel
Chennai Coast,June,28.1,35.1,25,5.4,1.2,Mackerel
Rameswaram,February,28.5,34.0,33,5.8,8.6,Pomfret
Rameswaram,July,25.3,35.2,36,7.7,1.1,Pomfret
Chennai Coast,November,27.7,35.2,53,6.4,8.3,Pomfret
Kerala Coast,March,25.3,34.5,46,5.9,7.2,Anchovy
Kerala Coast,July,28.2,34.9,52,4.9,9.2,Mackerel
Chennai Coast,April,26.7,33.0,15,7.6,9.9,Anchovy
Andaman Sea,June,31.0,34.9,167,7.9,5.6,Tuna
Andaman Sea,February,30.5,35.8,171,7.6,4.7,Tuna
Goa Coast,March,27.4,34.2,20,5.1,7.9,Seer Fish
Goa Coast,February,27.1,33.3,43,5.8,4.6,Mackerel
Goa Coast,October,28.9,33.6,75,5.1,9.6,Seer Fish
Kerala Coast,June,25.1,35.5,33,5.8,6.7,Anchovy
Rameswaram,April,25.6,33.3,38,7.2,2.1,Pomfret
Andaman Sea,September,28.0,35.4,57,6.9,2.6,Snapper
Visakhapatnam,October,28.3,36.0,68,6.4,9.7,Seer Fish
